门店生命周期管理系统产品功能清单,,,,
产品模块,子模块,系统角色,内容描述,期数
系统首页,/,全员,"为用户提供系统首页功能：
1.待办事项工作区，可跳转到具体的待处理事项页面；
2.消息通知列表，可跳转到具体的提醒事项页面；
3.常用功能管理区，支持自定义常用功能，可快捷跳转功能列表页面",一期
开店计划管理,计划管理,商务人员/运营人员,"支持管理开店计划：
1.支持按年度/季度、按省份/城市、按店贡献率分型、门店类型（对应体现商务预算明细）导入开店计划；
2.可对已导入的开店计划进行维护，支持查询、编辑、删除",一期
拓店管理,候选点位管理,商务人员/运营人员,"支持管理候选点位：
1.支持用户新建候选点位，支持维护点位基本资料信息；
2.可对已入库的候选点位进行维护，支持查询、编辑、删除",一期
,跟进管理,商务人员/运营人员/销售人员/财务人员,"支持管理铺位从调研到签约的跟进过程：
1.可基于候选点位新建铺位跟进单，录入铺位调研结果；
2.可进一步录入商务条件、销售预测，根据预设规则输出盈利测算；
3.支持跟进结果关联到报店审批流程，跟进信息（含盈利测算和主体信息）自动带入报批单据，低贡献率门店数达计划红线时将自动预警；
4.支持维护签约信息，可自定义合同催办提醒；
5.支持维护跟进优先级，支持跟进单的查询、编辑，或标记“放弃跟进”",一期
,,,损益测算模型的公式开放可修改；支持商务条件批量excel导出,二期
开店筹备管理,工程管理,商务人员,"支持管理门店的施工与验收过程：
1.可新建门店工程单并上传设计图纸；支持工程单的查询、编辑、删除；
2.可录入施工计划（开工日期、验收日期等），支持自定义里程碑节点和提醒；
3.支持使用验收核对表单做验收确认；可标记待整改项，生成整改清单",一期
,交付管理,商务人员/销售人员/加盟商/店长,提供门店交付资料管理的功能：支持门店交付的交接清单的录入、编辑,一期
门店档案,门店档案,商务人员/运营人员/销售人员/加盟商/店长,"支持管理门店的主数据档案：
1.支持创建门店，维护门店基本信息；
2.可在门店档案中查看此前拓店与筹备阶段留存的各项资料（基于所关联跟进单的内容，如商务条件、签约信息；所关联工程单的内容，如设计图纸、交接资料）",一期
门店运营管理,待付款项管理,商务人员,支持管理门店的待付款项：可新建门店待付款项信息，可自定义付款周期设置提醒规则；支持款项的查询、编辑、删除,二期
,资产管理,商务人员/IT/店长/,支持管理门店资产：支持维护门店资产清单，可对资产操作添加、编辑、查询、删除,二期
经营大屏,开店进度分析,总裁办人员/商务人员/运营人员,"提供关于开店进度分析的可视化大屏：
1.开店地图：基于城市地图，体现计划中、拓店中、筹备中、已开店门店的数据对比；
2.跟进漏斗：基于跟进单状态，体现拓店过程中调研、谈判、测算、报店、签约各环节的数据对比；
3.计划完成进度：基于贡献率类型，体现开店计划、跟进中铺位与已开门店中各类型的对比",二期
数据报表,/,总裁办人员/商务人员/运营人员,提供开店过程中的数据报表：提供开店计划、拓店跟进进度、筹备进度、门店资产的数据报表；保留对接外部销售数据的端口；保留导入相关数据计算投资回报等,二期
